,temperature,hour,week,work,cloud_cover,last_day_load,last_week_load,last_hour_load,last_hour_temperature,load,date,load_prediction
0,73.0,0,5,1,0.0,1502.0,1622.0,1466.0,73.5,1499.0,2017-02-01 00:00:00,1530.6545
1,69.0,1,5,1,0.0,1603.0,1728.0,1499.0,73.0,1604.0,2017-02-01 01:00:00,1613.1538
2,64.0,2,5,1,0.0,1713.0,1856.0,1604.0,69.0,1713.0,2017-02-01 02:00:00,1692.1198
3,59.0,3,5,1,0.0,1713.0,1857.0,1713.0,64.0,1704.0,2017-02-01 03:00:00,1707.7375
4,54.0,4,5,1,0.0,1690.0,1838.0,1704.0,59.0,1692.0,2017-02-01 04:00:00,1660.7738
5,52.0,5,5,1,0.0,1626.0,1786.0,1692.0,54.0,1644.0,2017-02-01 05:00:00,1613.9799
6,49.0,6,5,1,0.0,1550.0,1703.0,1644.0,52.0,1558.0,2017-02-01 06:00:00,1544.4584
7,47.0,7,5,1,0.0,1474.0,1630.0,1558.0,49.0,1496.0,2017-02-01 07:00:00,1484.4281
8,47.0,8,5,1,0.0,1428.0,1582.0,1496.0,47.0,1441.0,2017-02-01 08:00:00,1448.5435
9,45.0,9,5,1,0.0,1436.0,1575.0,1441.0,47.0,1448.0,2017-02-01 09:00:00,1423.7047
10,44.0,10,5,1,0.0,1443.0,1583.0,1448.0,45.0,1444.0,2017-02-01 10:00:00,1454.807
11,44.0,11,5,1,0.0,1475.0,1601.0,1444.0,44.0,1468.0,2017-02-01 11:00:00,1471.4165
12,44.0,12,5,1,0.0,1538.0,1668.0,1468.0,44.0,1540.0,2017-02-01 12:00:00,1544.2369
13,46.0,13,5,1,0.0,1662.0,1801.0,1540.0,44.0,1641.0,2017-02-01 13:00:00,1653.3177
14,44.0,14,5,1,0.0,1841.0,1978.0,1641.0,46.0,1822.0,2017-02-01 14:00:00,1762.1482
15,43.0,15,5,1,0.0,1881.0,2018.0,1822.0,44.0,1874.0,2017-02-01 15:00:00,1829.8335
16,49.0,16,5,1,0.0,1776.0,1907.0,1874.0,43.0,1757.0,2017-02-01 16:00:00,1749.9202
17,56.0,17,5,1,0.0,1651.0,1783.0,1757.0,49.0,1611.0,2017-02-01 17:00:00,1637.3511
18,63.0,18,5,1,0.0,1560.0,1657.0,1611.0,56.0,1516.0,2017-02-01 18:00:00,1527.6716
19,69.0,19,5,1,0.0,1517.0,1574.0,1516.0,63.0,1466.0,2017-02-01 19:00:00,1472.9131
20,72.0,20,5,1,0.0,1484.0,1518.0,1466.0,69.0,1440.0,2017-02-01 20:00:00,1449.4243
21,73.0,21,5,1,0.0,1448.0,1494.0,1440.0,72.0,1415.0,2017-02-01 21:00:00,1436.5592
22,75.0,22,5,1,0.0,1455.0,1473.0,1415.0,73.0,1413.0,2017-02-01 22:00:00,1425.128
23,75.0,23,5,1,0.0,1466.0,1501.0,1413.0,75.0,1435.0,2017-02-01 23:00:00,1442.1511
24,74.0,0,5,1,0.0,1499.0,1544.0,1435.0,75.0,1488.0,2017-02-02 00:00:00,1495.3708
25,72.0,1,5,1,0.0,1604.0,1685.0,1488.0,74.0,1573.0,2017-02-02 01:00:00,1578.8003
26,67.0,2,5,1,0.0,1713.0,1843.0,1573.0,72.0,1692.0,2017-02-02 02:00:00,1668.8273
27,61.0,3,5,1,0.0,1704.0,1862.0,1692.0,67.0,1696.0,2017-02-02 03:00:00,1686.313
28,55.0,4,5,1,0.0,1692.0,1850.0,1696.0,61.0,1671.0,2017-02-02 04:00:00,1653.1077
29,52.0,5,5,1,0.0,1644.0,1792.0,1671.0,55.0,1630.0,2017-02-02 05:00:00,1599.6848
30,50.0,6,5,1,0.0,1558.0,1694.0,1630.0,52.0,1531.0,2017-02-02 06:00:00,1534.546
31,48.0,7,5,1,0.0,1496.0,1620.0,1531.0,50.0,1463.0,2017-02-02 07:00:00,1460.85
32,47.0,8,5,1,0.0,1441.0,1585.0,1463.0,48.0,1431.0,2017-02-02 08:00:00,1417.4071
33,46.0,9,5,1,0.0,1448.0,1587.0,1431.0,47.0,1419.0,2017-02-02 09:00:00,1415.0139
34,46.0,10,5,1,0.0,1444.0,1596.0,1419.0,46.0,1409.0,2017-02-02 10:00:00,1419.7902
35,46.0,11,5,1,0.0,1468.0,1619.0,1409.0,46.0,1432.0,2017-02-02 11:00:00,1431.4933
36,45.0,12,5,1,0.0,1540.0,1676.0,1432.0,46.0,1492.0,2017-02-02 12:00:00,1505.4017
37,44.0,13,5,1,0.0,1641.0,1816.0,1492.0,45.0,1611.0,2017-02-02 13:00:00,1615.134
38,43.0,14,5,1,0.0,1822.0,2007.0,1611.0,44.0,1785.0,2017-02-02 14:00:00,1747.1127
39,44.0,15,5,1,0.0,1874.0,2047.0,1785.0,43.0,1804.0,2017-02-02 15:00:00,1790.2504
40,50.0,16,5,1,0.0,1757.0,1913.0,1804.0,44.0,1681.0,2017-02-02 16:00:00,1691.045
41,58.0,17,5,1,0.0,1611.0,1774.0,1681.0,50.0,1569.0,2017-02-02 17:00:00,1575.06
42,65.0,18,5,1,0.0,1516.0,1665.0,1569.0,58.0,1482.0,2017-02-02 18:00:00,1500.0167
43,68.0,19,5,1,0.0,1466.0,1566.0,1482.0,65.0,1461.0,2017-02-02 19:00:00,1449.1019
44,71.0,20,5,1,0.0,1440.0,1512.0,1461.0,68.0,1448.0,2017-02-02 20:00:00,1438.6246
45,72.0,21,5,1,0.0,1415.0,1474.0,1448.0,71.0,1432.0,2017-02-02 21:00:00,1440.6576
46,75.0,22,5,1,0.0,1413.0,1458.0,1432.0,72.0,1435.0,2017-02-02 22:00:00,1434.9891
47,73.5,23,5,1,0.0,1435.0,1477.0,1435.0,75.0,1458.0,2017-02-02 23:00:00,1466.0416
49,70.0,1,5,1,0.0,1573.0,1713.0,1488.0,73.0,1567.0,2017-02-03 01:00:00,1587.2986
50,65.0,2,5,1,0.0,1692.0,1868.0,1567.0,70.0,1677.0,2017-02-03 02:00:00,1662.7556
51,62.0,3,5,1,0.0,1696.0,1885.0,1677.0,65.0,1684.0,2017-02-03 03:00:00,1677.0286
52,56.0,4,5,1,0.0,1671.0,1895.0,1684.0,62.0,1677.0,2017-02-03 04:00:00,1638.1117
53,55.0,5,5,1,0.0,1630.0,1834.0,1677.0,56.0,1620.0,2017-02-03 05:00:00,1593.9238
54,49.0,6,5,1,0.0,1531.0,1728.0,1620.0,55.0,1524.0,2017-02-03 06:00:00,1520.8583
55,49.0,7,5,1,0.0,1463.0,1660.0,1524.0,49.0,1445.0,2017-02-03 07:00:00,1457.7703
56,48.0,8,5,1,0.0,1431.0,1601.0,1445.0,49.0,1380.0,2017-02-03 08:00:00,1400.1545
57,48.0,9,5,1,0.0,1419.0,1600.0,1380.0,48.0,1377.0,2017-02-03 09:00:00,1359.6274
58,46.0,10,5,1,0.0,1409.0,1600.0,1377.0,48.0,1384.0,2017-02-03 10:00:00,1379.6398
59,45.0,11,5,1,0.0,1432.0,1632.0,1384.0,46.0,1406.0,2017-02-03 11:00:00,1409.7662
60,46.0,12,5,1,0.0,1492.0,1688.0,1406.0,45.0,1463.0,2017-02-03 12:00:00,1475.8973
61,44.0,13,5,1,0.0,1611.0,1811.0,1463.0,46.0,1559.0,2017-02-03 13:00:00,1588.9443
62,46.0,14,5,1,0.0,1785.0,1999.0,1559.0,44.0,1720.0,2017-02-03 14:00:00,1693.3845
63,46.0,15,5,1,0.0,1804.0,2060.0,1720.0,46.0,1778.0,2017-02-03 15:00:00,1724.654
64,53.0,16,5,1,0.0,1681.0,1956.0,1778.0,46.0,1686.0,2017-02-03 16:00:00,1653.4646
