,temperature,hour,week,work,cloud_cover,last_day_load,last_week_load,last_hour_load,last_hour_temperature,load,date,load_prediction
165,85.0,8,28,1,0.0,1614.0,1605.0,1746.0,86.0,1663.0,2015-07-08 08:00:00,1654.5428
166,84.0,9,28,1,0.0,1553.0,1537.0,1663.0,85.0,1591.0,2015-07-08 09:00:00,1595.6539
167,83.0,10,28,1,0.0,1508.0,1487.0,1591.0,84.0,1523.0,2015-07-08 10:00:00,1545.5564
168,81.0,11,28,1,0.0,1489.0,1470.0,1523.0,83.0,1497.0,2015-07-08 11:00:00,1500.8152
169,79.0,12,28,1,0.0,1520.0,1503.0,1497.0,81.0,1523.0,2015-07-08 12:00:00,1504.1959
170,80.0,13,28,1,0.0,1540.0,1511.0,1523.0,79.0,1555.0,2015-07-08 13:00:00,1557.8354
171,83.0,14,28,1,0.0,1602.0,1566.0,1555.0,80.0,1598.0,2015-07-08 14:00:00,1632.4272
172,86.0,15,28,1,0.0,1656.0,1612.0,1598.0,83.0,1712.0,2015-07-08 15:00:00,1699.7898
173,89.0,16,28,1,0.0,1802.0,1655.0,1712.0,86.0,1839.0,2015-07-08 16:00:00,1834.7751
174,93.0,17,28,1,0.0,1956.0,1805.0,1839.0,89.0,1921.0,2015-07-08 17:00:00,1985.5835
175,95.0,18,28,1,0.0,2125.0,1971.0,1921.0,93.0,2057.0,2015-07-08 18:00:00,2073.3252
176,98.0,19,28,1,0.0,2248.0,2118.0,2057.0,95.0,2198.0,2015-07-08 19:00:00,2216.2788
177,98.0,20,28,1,0.0,2298.0,2217.0,2198.0,98.0,2342.0,2015-07-08 20:00:00,2338.1035
178,99.0,21,28,1,0.0,2362.0,2401.0,2342.0,98.0,2405.0,2015-07-08 21:00:00,2461.8193
179,100.0,22,28,1,0.0,2443.0,2363.0,2405.0,99.0,2462.0,2015-07-08 22:00:00,2505.6711
180,99.0,23,28,1,0.0,2485.0,2237.0,2462.0,100.0,2503.0,2015-07-08 23:00:00,2535.7163
181,90.0,4,28,1,0.0,2278.0,2063.0,2378.0,92.0,2271.0,2015-07-09 04:00:00,2262.1885
182,89.0,5,28,1,0.0,2099.0,1908.0,2271.0,90.0,2117.0,2015-07-09 05:00:00,2109.2168
183,87.0,6,28,1,0.0,1907.0,1759.0,2117.0,89.0,1934.0,2015-07-09 06:00:00,1926.6892
184,85.0,7,28,1,0.0,1746.0,1643.0,1934.0,87.0,1774.0,2015-07-09 07:00:00,1782.9653
185,85.0,8,28,1,0.0,1663.0,1542.0,1774.0,85.0,1688.0,2015-07-09 08:00:00,1678.5648
186,83.0,9,28,1,0.0,1591.0,1489.0,1688.0,85.0,1621.0,2015-07-09 09:00:00,1614.7665
187,81.0,10,28,1,0.0,1523.0,1450.0,1621.0,83.0,1565.0,2015-07-09 10:00:00,1566.7306
188,81.0,11,28,1,0.0,1497.0,1427.0,1565.0,81.0,1527.0,2015-07-09 11:00:00,1542.9802
189,80.0,12,28,1,0.0,1523.0,1461.0,1527.0,81.0,1569.0,2015-07-09 12:00:00,1533.5803
190,79.0,13,28,1,0.0,1555.0,1471.0,1569.0,80.0,1574.0,2015-07-09 13:00:00,1601.3943
191,83.0,14,28,1,0.0,1598.0,1520.0,1574.0,79.0,1623.0,2015-07-09 14:00:00,1655.4716
192,86.0,15,28,1,0.0,1712.0,1595.0,1623.0,83.0,1672.0,2015-07-09 15:00:00,1726.9479
193,87.0,16,28,1,0.0,1839.0,1728.0,1672.0,86.0,1798.0,2015-07-09 16:00:00,1783.2368
194,89.0,17,28,1,0.0,1921.0,1876.0,1798.0,87.0,1920.0,2015-07-09 17:00:00,1922.8522
195,91.0,18,28,1,0.0,2057.0,1998.0,1920.0,89.0,2018.0,2015-07-09 18:00:00,2050.6416
196,92.0,19,28,1,0.0,2198.0,2125.0,2018.0,91.0,2001.0,2015-07-09 19:00:00,2143.405
197,93.0,20,28,1,0.0,2342.0,2246.0,2001.0,92.0,2115.0,2015-07-09 20:00:00,2118.9158
198,92.0,21,28,1,0.0,2405.0,2365.0,2115.0,93.0,2132.0,2015-07-09 21:00:00,2208.8013
199,94.0,22,28,1,1.0,2462.0,2452.0,2132.0,92.0,2157.0,2015-07-09 22:00:00,2192.2053
200,90.5,23,28,1,0.0,2503.0,2516.0,2157.0,94.0,2132.0,2015-07-09 23:00:00,2208.6626
201,84.0,4,28,1,1.0,2271.0,2267.0,2150.0,86.0,2114.0,2015-07-10 04:00:00,2085.7832
202,83.0,5,28,1,1.0,2117.0,2134.0,2114.0,84.0,1971.0,2015-07-10 05:00:00,2004.6771
203,82.0,6,28,1,0.0,1934.0,1921.0,1971.0,83.0,1813.0,2015-07-10 06:00:00,1808.2438
204,82.0,7,28,1,0.0,1774.0,1791.0,1813.0,82.0,1684.0,2015-07-10 07:00:00,1681.8662
205,81.0,8,28,1,0.0,1688.0,1702.0,1684.0,82.0,1596.0,2015-07-10 08:00:00,1595.2964
206,80.0,9,28,1,0.0,1621.0,1633.0,1596.0,81.0,1529.0,2015-07-10 09:00:00,1536.903
207,79.0,10,28,1,0.0,1565.0,1575.0,1529.0,80.0,1478.0,2015-07-10 10:00:00,1488.6031
208,78.0,11,28,1,0.0,1527.0,1543.0,1478.0,79.0,1456.0,2015-07-10 11:00:00,1459.8151
209,77.0,12,28,1,1.0,1569.0,1567.0,1456.0,78.0,1473.0,2015-07-10 12:00:00,1478.7374
210,78.0,13,28,1,0.0,1574.0,1595.0,1473.0,77.0,1530.0,2015-07-10 13:00:00,1510.647
211,80.0,14,28,1,0.0,1623.0,1614.0,1530.0,78.0,1561.0,2015-07-10 14:00:00,1604.7069
212,83.0,15,28,1,0.0,1672.0,1640.0,1561.0,80.0,1636.0,2015-07-10 15:00:00,1647.7312
213,86.0,16,28,1,0.0,1798.0,1748.0,1636.0,83.0,1724.0,2015-07-10 16:00:00,1742.0164
214,89.0,17,28,1,1.0,1920.0,1842.0,1724.0,86.0,1848.0,2015-07-10 17:00:00,1837.674
215,89.0,18,28,1,1.0,2018.0,1913.0,1848.0,89.0,1951.0,2015-07-10 18:00:00,1961.9675
216,92.0,19,28,1,0.0,2001.0,2024.0,1951.0,89.0,1844.0,2015-07-10 19:00:00,2087.848
217,92.0,20,28,1,0.0,2115.0,2132.0,1844.0,92.0,1975.0,2015-07-10 20:00:00,1972.7014
218,94.0,21,28,1,0.0,2132.0,2274.0,1975.0,92.0,2069.0,2015-07-10 21:00:00,2101.0835
219,94.0,22,28,1,1.0,2157.0,2370.0,2069.0,94.0,2153.0,2015-07-10 22:00:00,2163.6782
220,94.0,23,28,1,1.0,2132.0,2417.0,2153.0,94.0,2121.0,2015-07-10 23:00:00,2229.9375
222,92.0,1,28,0,0.0,2174.0,2471.0,2176.0,94.0,2128.0,2015-07-11 01:00:00,2177.1733
223,91.0,2,28,0,0.0,2142.0,2435.0,2128.0,92.0,2134.0,2015-07-11 02:00:00,2102.1602
224,90.0,3,28,0,0.0,2150.0,2372.0,2134.0,91.0,2063.0,2015-07-11 03:00:00,2077.0452
225,88.0,4,28,0,0.0,2114.0,2273.0,2063.0,90.0,1985.0,2015-07-11 04:00:00,1978.3464
226,86.0,5,28,0,0.0,1971.0,2134.0,1985.0,88.0,1878.0,2015-07-11 05:00:00,1867.0752
227,86.0,6,28,0,0.0,1813.0,1985.0,1878.0,86.0,1721.0,2015-07-11 06:00:00,1749.9194
228,85.0,7,28,0,0.0,1684.0,1868.0,1721.0,86.0,1594.0,2015-07-11 07:00:00,1617.3401
229,83.0,8,28,0,0.0,1596.0,1777.0,1594.0,85.0,1530.0,2015-07-11 08:00:00,1520.81
230,83.0,9,28,0,0.0,1529.0,1690.0,1530.0,83.0,1489.0,2015-07-11 09:00:00,1484.2029
231,83.0,10,28,0,1.0,1478.0,1611.0,1489.0,83.0,1433.0,2015-07-11 10:00:00,1468.2728
232,82.0,11,28,0,0.0,1456.0,1562.0,1433.0,83.0,1412.0,2015-07-11 11:00:00,1409.7196
233,78.0,12,28,0,0.0,1473.0,1563.0,1412.0,82.0,1390.0,2015-07-11 12:00:00,1391.893
234,80.0,13,28,0,0.0,1530.0,1551.0,1390.0,78.0,1381.0,2015-07-11 13:00:00,1402.8904
235,80.0,14,28,0,0.0,1561.0,1574.0,1381.0,80.0,1377.0,2015-07-11 14:00:00,1419.1067
236,82.0,15,28,0,0.0,1636.0,1667.0,1377.0,80.0,1485.0,2015-07-11 15:00:00,1477.0002
237,86.0,16,28,0,0.0,1724.0,1754.0,1485.0,82.0,1652.0,2015-07-11 16:00:00,1633.0701
238,91.0,17,28,0,0.0,1848.0,1857.0,1652.0,86.0,1798.0,2015-07-11 17:00:00,1815.9703
239,94.0,18,28,0,0.0,1951.0,1970.0,1798.0,91.0,1941.0,2015-07-11 18:00:00,1953.2144
240,96.0,19,28,0,0.0,1844.0,2040.0,1941.0,94.0,2088.0,2015-07-11 19:00:00,2086.8665
241,99.0,20,28,0,0.0,1975.0,2021.0,2088.0,96.0,2170.0,2015-07-11 20:00:00,2222.9224
242,100.0,21,28,0,0.0,2069.0,2034.0,2170.0,99.0,2248.0,2015-07-11 21:00:00,2283.736
243,101.0,22,28,0,0.0,2153.0,2108.0,2248.0,100.0,2318.0,2015-07-11 22:00:00,2345.3594
244,99.0,23,28,0,0.5,2121.0,2215.0,2318.0,101.0,2360.0,2015-07-11 23:00:00,2355.1675
245,100.0,0,28,0,1.0,2176.0,2158.0,2360.0,99.0,2429.0,2015-07-12 00:00:00,2427.4565
246,99.0,1,28,0,0.0,2128.0,2103.0,2429.0,100.0,2400.0,2015-07-12 01:00:00,2402.9285
247,98.0,2,28,0,0.0,2134.0,2055.0,2400.0,99.0,2322.0,2015-07-12 02:00:00,2344.4722
248,95.0,3,28,0,0.0,2063.0,2059.0,2322.0,98.0,2276.0,2015-07-12 03:00:00,2238.252
249,92.0,4,28,0,0.0,1985.0,1992.0,2276.0,95.0,2201.0,2015-07-12 04:00:00,2161.3635
250,90.0,5,28,0,0.0,1878.0,1927.0,2201.0,92.0,2045.0,2015-07-12 05:00:00,2064.766
251,88.0,6,28,0,1.0,1721.0,1847.0,2045.0,90.0,1930.0,2015-07-12 06:00:00,1906.4879
252,87.0,7,28,0,0.0,1594.0,1755.0,1930.0,88.0,1804.0,2015-07-12 07:00:00,1807.6056
253,84.0,8,28,0,0.0,1530.0,1673.0,1804.0,87.0,1704.0,2015-07-12 08:00:00,1692.865
254,82.0,9,28,0,0.0,1489.0,1611.0,1704.0,84.0,1623.0,2015-07-12 09:00:00,1615.2507
255,82.0,10,28,0,0.0,1433.0,1594.0,1623.0,82.0,1564.0,2015-07-12 10:00:00,1562.9752
256,78.0,11,28,0,1.0,1412.0,1563.0,1564.0,82.0,1512.0,2015-07-12 11:00:00,1512.7738
257,78.0,12,28,0,0.0,1390.0,1542.0,1512.0,78.0,1469.0,2015-07-12 12:00:00,1485.3545
258,78.0,13,28,0,0.0,1381.0,1536.0,1469.0,78.0,1444.0,2015-07-12 13:00:00,1460.4453
259,80.0,14,28,0,0.0,1377.0,1574.0,1444.0,78.0,1417.0,2015-07-12 14:00:00,1468.3376
260,85.0,15,28,0,0.0,1485.0,1648.0,1417.0,80.0,1505.0,2015-07-12 15:00:00,1519.4644
261,88.0,16,28,0,0.0,1652.0,1758.0,1505.0,85.0,1658.0,2015-07-12 16:00:00,1654.1016
262,93.0,17,28,0,0.0,1798.0,1805.0,1658.0,88.0,1829.0,2015-07-12 17:00:00,1833.1616
263,95.0,18,28,0,0.0,1941.0,1847.0,1829.0,93.0,1976.0,2015-07-12 18:00:00,1990.7173
264,99.0,19,28,0,0.0,2088.0,1939.0,1976.0,95.0,1939.0,2015-07-12 19:00:00,2130.6465
265,101.0,20,28,0,0.0,2170.0,1966.0,1939.0,99.0,2193.0,2015-07-12 20:00:00,2097.7314
266,100.0,21,28,0,1.0,2248.0,2047.0,2193.0,101.0,2320.0,2015-07-12 21:00:00,2291.6663
267,99.0,22,28,0,0.0,2318.0,1978.0,2320.0,100.0,2334.0,2015-07-12 22:00:00,2389.2163
268,94.0,23,28,0,0.5,2360.0,1927.0,2334.0,99.0,2183.0,2015-07-12 23:00:00,2310.5457
269,93.0,0,29,1,0.0,2429.0,1872.0,2183.0,94.0,2262.0,2015-07-13 00:00:00,2232.8567
270,85.0,1,29,1,0.0,2400.0,1923.0,2262.0,93.0,2200.0,2015-07-13 01:00:00,2217.2144
271,80.0,2,29,1,0.0,2322.0,1909.0,2200.0,85.0,2096.0,2015-07-13 02:00:00,2143.8147
272,81.0,3,29,1,0.0,2276.0,1927.0,2096.0,80.0,2056.0,2015-07-13 03:00:00,2059.4595
273,80.0,4,29,1,0.0,2201.0,1907.0,2056.0,81.0,2016.0,2015-07-13 04:00:00,1993.7208
274,80.0,5,29,1,0.0,2045.0,1793.0,2016.0,80.0,1900.0,2015-07-13 05:00:00,1900.9814
275,79.0,6,29,1,0.0,1930.0,1676.0,1900.0,80.0,1746.0,2015-07-13 06:00:00,1747.2592
276,79.0,7,29,1,0.0,1804.0,1577.0,1746.0,79.0,1623.0,2015-07-13 07:00:00,1624.4843
277,78.0,8,29,1,0.0,1704.0,1517.0,1623.0,79.0,1554.0,2015-07-13 08:00:00,1535.8617
278,79.0,9,29,1,0.0,1623.0,1472.0,1554.0,78.0,1491.0,2015-07-13 09:00:00,1490.9807
279,81.0,10,29,1,0.0,1564.0,1447.0,1491.0,79.0,1491.0,2015-07-13 10:00:00,1452.3611
280,78.0,11,29,1,0.0,1512.0,1434.0,1491.0,81.0,1475.0,2015-07-13 11:00:00,1471.8638
281,80.0,12,29,1,0.0,1469.0,1465.0,1475.0,78.0,1504.0,2015-07-13 12:00:00,1483.6511
282,78.0,13,29,1,0.0,1444.0,1490.0,1504.0,80.0,1549.0,2015-07-13 13:00:00,1538.5916
283,80.0,14,29,1,0.0,1417.0,1539.0,1549.0,78.0,1583.0,2015-07-13 14:00:00,1620.8905
284,85.0,15,29,1,0.0,1505.0,1578.0,1583.0,80.0,1670.0,2015-07-13 15:00:00,1675.2356
285,87.0,16,29,1,0.0,1658.0,1661.0,1670.0,85.0,1806.0,2015-07-13 16:00:00,1782.3221
286,92.0,17,29,1,0.0,1829.0,1794.0,1806.0,87.0,1934.0,2015-07-13 17:00:00,1950.6921
287,93.0,18,29,1,0.0,1976.0,1950.0,1934.0,92.0,2063.0,2015-07-13 18:00:00,2076.4216
288,96.0,19,29,1,0.0,1939.0,2117.0,2063.0,93.0,2230.0,2015-07-13 19:00:00,2215.632
289,99.0,20,29,1,0.0,2193.0,2283.0,2230.0,96.0,2363.0,2015-07-13 20:00:00,2376.172
290,100.0,21,29,1,0.0,2320.0,2376.0,2363.0,99.0,2537.0,2015-07-13 21:00:00,2487.6077
291,99.0,22,29,1,1.0,2334.0,2426.0,2537.0,100.0,2637.0,2015-07-13 22:00:00,2624.6946
292,93.0,23,29,1,1.0,2183.0,2424.0,2637.0,99.0,2557.0,2015-07-13 23:00:00,2624.5896
293,92.0,0,29,1,1.0,2262.0,2336.0,2557.0,93.0,2417.0,2015-07-14 00:00:00,2505.1892
294,89.0,1,29,1,1.0,2200.0,2338.0,2417.0,92.0,2337.0,2015-07-14 01:00:00,2356.2852
295,85.0,2,29,1,1.0,2096.0,2264.0,2337.0,89.0,2249.0,2015-07-14 02:00:00,2258.2322
296,82.0,3,29,1,1.0,2056.0,2243.0,2249.0,85.0,2176.0,2015-07-14 03:00:00,2170.4373
297,83.0,4,29,1,1.0,2016.0,2186.0,2176.0,82.0,2083.0,2015-07-14 04:00:00,2098.0503
298,85.0,5,29,1,1.0,1900.0,1994.0,2083.0,83.0,1946.0,2015-07-14 05:00:00,1953.8015
299,83.0,6,29,1,1.0,1746.0,1801.0,1946.0,85.0,1821.0,2015-07-14 06:00:00,1780.7235
300,83.0,7,29,1,0.0,1623.0,1673.0,1821.0,83.0,1728.0,2015-07-14 07:00:00,1695.2937
301,81.0,8,29,1,0.0,1554.0,1614.0,1728.0,83.0,1649.0,2015-07-14 08:00:00,1626.7393
302,81.0,9,29,1,0.0,1491.0,1553.0,1649.0,81.0,1567.0,2015-07-14 09:00:00,1577.003
