,date,load,work,temperature,dew_point,cloud_cover,year,week,day_of_year,hour,pload,last_year_load,last_week_load,last_day_load
0,2015-07-01 08:00:00,1605.0,1,73.0,64.0,0.0,2015,27,182,8,1471,,,
1,2015-07-01 09:00:00,1537.0,1,73.0,64.0,0.0,2015,27,182,9,1418,,,
2,2015-07-01 10:00:00,1487.0,1,74.0,64.0,0.0,2015,27,182,10,1376,,,
3,2015-07-01 11:00:00,1470.0,1,73.0,64.0,0.0,2015,27,182,11,1354,,,
4,2015-07-01 12:00:00,1503.0,1,73.0,66.0,0.0,2015,27,182,12,1346,,,
5,2015-07-01 13:00:00,1511.0,1,72.0,65.0,0.0,2015,27,182,13,1378,,,
6,2015-07-01 14:00:00,1566.0,1,75.0,64.0,0.0,2015,27,182,14,1454,,,
7,2015-07-01 15:00:00,1612.0,1,77.0,64.0,0.0,2015,27,182,15,1581,,,
8,2015-07-01 16:00:00,1655.0,1,82.0,63.0,0.0,2015,27,182,16,1734,,,
9,2015-07-01 17:00:00,1805.0,1,85.0,62.0,0.0,2015,27,182,17,1896,,,
10,2015-07-01 18:00:00,1971.0,1,90.0,60.0,0.0,2015,27,182,18,2056,,,
11,2015-07-01 19:00:00,2118.0,1,91.0,60.0,0.0,2015,27,182,19,2214,,,
12,2015-07-01 20:00:00,2217.0,1,95.0,59.0,0.0,2015,27,182,20,2343,,,
13,2015-07-01 21:00:00,2401.0,1,93.0,58.0,0.0,2015,27,182,21,2439,,,
14,2015-07-01 22:00:00,2363.0,1,92.0,57.0,0.0,2015,27,182,22,2364,,,
15,2015-07-01 23:00:00,2237.0,1,92.0,58.5,0.5,2015,27,182,23,2241,,,
16,2015-07-02 00:00:00,2184.0,1,92.0,59.0,1.0,2015,27,183,0,2176,,,
17,2015-07-02 01:00:00,2188.0,1,91.0,58.0,0.0,2015,27,183,1,2082,,,
18,2015-07-02 02:00:00,2138.0,1,86.0,63.0,0.0,2015,27,183,2,2017,,,
19,2015-07-02 03:00:00,2145.0,1,82.0,65.0,0.0,2015,27,183,3,1993,,,
