date,load,work,temp,dewp,pload
2015-07-01 08:00:00,1605.0,True,73.0,64.0,1471
2015-07-01 09:00:00,1537.0,True,74.0,64.0,1418
2015-07-01 10:00:00,1487.0,True,73.0,64.0,1376
2015-07-01 11:00:00,1470.0,True,73.0,66.0,1354
2015-07-01 12:00:00,1503.0,True,72.5,65.5,1346
2015-07-01 13:00:00,1511.0,True,75.0,64.0,1378
2015-07-01 14:00:00,1566.0,True,77.0,64.0,1454
2015-07-01 15:00:00,1612.0,True,82.0,63.0,1581
2015-07-01 16:00:00,1655.0,True,85.0,62.0,1734
2015-07-01 17:00:00,1805.0,True,90.0,60.0,1896
2015-07-01 18:00:00,1971.0,True,90.5,60.0,2056
2015-07-01 19:00:00,2118.0,True,95.0,59.0,2214
2015-07-01 20:00:00,2217.0,True,93.0,58.0,2343
2015-07-01 21:00:00,2401.0,True,92.0,57.0,2439
2015-07-01 22:00:00,2363.0,True,92.0,58.0,2364
2015-07-01 23:00:00,2237.0,True,92.0,59.0,2241
2015-07-02 00:00:00,2184.0,True,91.5,58.5,2176
2015-07-02 01:00:00,2188.0,True,86.0,63.0,2082
2015-07-02 02:00:00,2138.0,True,82.0,65.0,2017
2015-07-02 03:00:00,2145.0,True,81.0,64.0,1993
2015-07-02 04:00:00,2063.0,True,80.0,64.0,1966
2015-07-02 05:00:00,1908.0,True,79.0,64.0,1865
2015-07-02 06:00:00,1759.0,True,78.5,64.5,1722
2015-07-02 07:00:00,1643.0,True,77.0,65.0,1595
2015-07-02 08:00:00,1542.0,True,76.0,65.0,1471
2015-07-02 09:00:00,1489.0,True,75.0,65.0,1418
2015-07-02 10:00:00,1450.0,True,75.0,65.0,1376
2015-07-02 11:00:00,1427.0,True,74.0,65.0,1354
2015-07-02 12:00:00,1461.0,True,74.0,65.0,1346
2015-07-02 13:00:00,1471.0,True,77.0,65.0,1378
2015-07-02 14:00:00,1520.0,True,82.0,63.0,1454
2015-07-02 15:00:00,1595.0,True,86.0,61.0,1581
2015-07-02 16:00:00,1728.0,True,89.0,59.0,1734
2015-07-02 17:00:00,1876.0,True,93.0,58.0,1896
2015-07-02 18:00:00,1998.0,True,94.5,58.0,2056
2015-07-02 19:00:00,2125.0,True,97.0,57.0,2214
2015-07-02 20:00:00,2246.0,True,97.0,56.0,2343
